n,seed,model,n_layers,n_params,freq_count,L,train_mse,train_nmse,test_mse,test_nmse
4,0,QCL,6,72,,,0.10393658528356164,0.8873842058342527,0.09497734198308978,0.820131170328522
4,1,QCL,6,72,,,0.14648287233616356,1.2506336145421268,0.1586387939600976,1.3698490296050247
4,2,QCL,6,72,,,0.19162577179552495,1.6360522414530552,0.19754614539911555,1.705814755785761
4,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1249,,,0.0028966351993236703,0.024730736717304008,0.004570607503330764,0.03946728348626964
4,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1249,,,0.004885099585259429,0.041707741350747285,0.006388178890812873,0.05516204729042768
4,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1249,,,0.005157346346050146,0.044032115149983765,0.006361707421426533,0.05493346564437572
4,,Fourier param-matched,,71,36,6,0.04497749693275888,0.3840064620864662,0.042050538062889636,0.36310720298533894
6,0,QCL,6,108,,,0.29236983349426776,2.840519570175735,0.2960363887196115,2.8687221146418067
6,1,QCL,6,108,,,0.18229342594422082,1.7710720621219376,0.1987355789591395,1.925834701578556
6,2,QCL,6,108,,,0.2175989085442803,2.1140825330087503,0.2317823389790228,2.2460722632388923
6,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1313,,,0.008589194402846147,0.08344833152496464,0.009299527352645349,0.09011648833994429
6,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1313,,,0.006876073880132118,0.06680450643302235,0.008031987468192156,0.07783347234502411
6,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1313,,,0.00783779708826467,0.07614812975128192,0.009596001416419099,0.09298945171733175
6,,Fourier param-matched,,107,54,6,0.03370353742408809,0.32744677004835215,0.03667764561485151,0.3554224314902583
8,0,QCL,6,144,,,0.25104668811012687,3.076958290921201,0.2581291687660074,2.819001371617884
8,1,QCL,6,144,,,0.24950162086401764,3.0580211461664333,0.25773804656405896,2.8147299673862984
8,2,QCL,6,144,,,0.24594190127030313,3.0143913783344445,0.2441296000014396,2.6661135606895883
8,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1377,,,0.008946525470984864,0.1096532518716551,0.01338109920215618,0.14613357020038065
8,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1377,,,0.010150773675924683,0.12441314186028975,0.015562783422579591,0.16995951299952933
8,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1377,,,0.00903448635637252,0.11073134606046028,0.011968479541220744,0.13070650017653068
8,,Fourier param-matched,,143,72,6,0.022930181778995824,0.2810441893033894,0.030152782984941017,0.32929535627063444
