n,seed,model,n_layers,n_params,freq_count,L,train_mse,train_nmse,test_mse,test_nmse
4,0,QCL,6,36,,,0.07899969321748083,0.2643203997552347,0.08032125355869707,0.25832352754711385
4,1,QCL,6,36,,,0.06453447138457961,0.21592206981621975,0.06406789529403446,0.20605062771809893
4,2,QCL,6,36,,,0.07686994778747806,0.2571946105210222,0.07710479254691228,0.247978973422659
4,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1185,,,0.0004965438643064961,0.001661356739046933,0.0005359142911491395,0.001723569591096935
4,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1185,,,0.0004528067170674771,0.0015150192056777154,0.0004537908336808503,0.0014594499429633212
4,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1185,,,0.0005904846361998613,0.0019756676099994697,0.000616951580594508,0.001984195982554908
4,,Fourier full,,337,169,6,0.022871133653793486,0.0765231729898466,0.028979308473407444,0.09320119967071905
4,,Fourier param-matched,,35,18,6,0.0720689383185605,0.24113119697637117,0.06844655955001973,0.22013297761225215
6,0,QCL,6,36,,,0.08932000281619838,0.29164725049640805,0.08949069243248602,0.28077514561863665
6,1,QCL,6,36,,,0.08297717662089901,0.2709366844203826,0.08782279769388382,0.2755421613229694
6,2,QCL,6,36,,,0.07678515935140515,0.25071853893520735,0.07126280988643276,0.2235855515158912
6,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1185,,,0.0004735788845923761,0.0015463275328006845,0.0005061956040421398,0.0015881779498317077
6,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1185,,,0.0004304856210119688,0.001405619612493011,0.0004524613625008023,0.0014195879089751323
6,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1185,,,0.0005471628685032056,0.0017865936088366048,0.0005472008816716674,0.0017168311369354851
6,,Fourier full,,337,169,6,0.022890104240740637,0.07474066004146497,0.029086961589209676,0.09125972381960666
6,,Fourier param-matched,,35,18,6,0.07198502480516421,0.23504516233103523,0.0683648764381301,0.21449334690976252
8,0,QCL,6,36,,,0.07382071061936185,0.23725085077044555,0.07647417560702667,0.23609893497662576
8,1,QCL,6,36,,,0.08807749496349275,0.28307043427915096,0.09258384250572428,0.28583435438350374
8,2,QCL,6,36,,,0.07359716779196762,0.23653241111390558,0.06961557655827266,0.21492436306409465
8,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1185,,,0.0004572084366100362,0.0014694127116233132,0.00048622481293813505,0.00150112321685956
8,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1185,,,0.0004467370975078052,0.0014357590920649756,0.00046016011846331846,0.0014206536131384589
8,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1185,,,0.0005668559372901624,0.0018218065398993304,0.0005611035318737987,0.001732296494018757
8,,Fourier full,,337,169,6,0.022923470626999436,0.0736732668005567,0.029176999954058973,0.09007823308046792
8,,Fourier param-matched,,35,18,6,0.07200068533362278,0.23140150925310632,0.0683787456371858,0.21110589152259904
