model,seed,n_layers,n_params,freq_count,train_nmse,test_nmse
QCL,0,3,9,,1.0152084259207588,1.0301573399711756
QCL,1,3,9,,1.0093425205297588,0.9961854737853759
QCL,2,3,9,,1.0690867599355542,1.1341210624616969
QCL,0,6,18,,1.469314852355235,1.4340265439434852
QCL,1,6,18,,1.4029682635136356,1.347532476313972
QCL,2,6,18,,1.0345176195180485,1.0511079518757223
QCL,0,10,30,,1.1475627470023864,1.1427909018523021
QCL,1,10,30,,1.1598132181425351,1.0047928605424914
QCL,2,10,30,,1.063967141244263,1.087093374640469
QCL,0,20,60,,0.26984415211527085,0.26230740657700147
QCL,1,20,60,,0.26947087106547574,0.26282600043879706
QCL,2,20,60,,0.4220822084346199,0.4338484958585694
MLP,0,,1153,,0.9855423382123096,1.0116223576683394
MLP,1,,1153,,0.7044832810819637,0.8002067082634912
MLP,2,,1153,,0.680725163734165,0.7685363558498438
Fourier full (L=3),,,13,7,0.9972624631638354,1.008875301331426
Fourier full (L=6),,,25,13,0.9915454217656094,1.019555865246152
Fourier full (L=10),,,41,21,0.9023812406917773,0.8846308724534505
Fourier full (L=20),,,81,41,0.07027396912107672,0.05632100982930523
