n,seed,model,n_layers,n_params,freq_count,L,train_mse,train_nmse,test_mse,test_nmse
4,0,QCL,6,72,,,0.27667151063674134,0.7225025297621752,0.2975499868013949,0.8365623884848926
4,1,QCL,6,72,,,0.27582558832577136,0.7202934804522139,0.29031913518472313,0.8162328345694346
4,2,QCL,6,72,,,0.24871741378749027,0.6495029439200374,0.24608979292617772,0.6918819495343724
4,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1249,,,0.04506037339523555,0.11767107388527236,0.0517978363203318,0.14562972136647784
4,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1249,,,0.04987792266169932,0.1302516663874183,0.05772081488524432,0.16228218755702517
4,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1249,,,0.04936221341809921,0.12890493852134602,0.052926429324795944,0.1488027628765487
4,,Fourier param-matched,,71,36,6,0.12098603280424018,0.3159440397957073,0.14133849945024676,0.39737347649048804
6,0,QCL,6,108,,,0.16252770581773865,0.9306726333872704,0.15375006264779514,0.88744177071605
6,1,QCL,6,108,,,0.1750564979857247,1.0024155029581812,0.16844579670573098,0.9722652044743957
6,2,QCL,6,108,,,0.20038632228965123,1.1474601534660043,0.2011792258955706,1.1612017932573486
6,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1313,,,0.02345834029068991,0.13432808408502303,0.031018963069199684,0.17904073037658103
6,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1313,,,0.029149852140778063,0.1669190463140504,0.03945080380860944,0.22770911819583523
6,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1313,,,0.026688920889653425,0.1528271636006034,0.035627310696833066,0.20564000525369422
6,,Fourier param-matched,,107,54,6,0.06429596452950034,0.3681741172914144,0.06562051517431743,0.3787600809958486
8,0,QCL,6,144,,,0.22035387456673056,1.1880342490692957,0.22008166292857237,1.1798984189990958
8,1,QCL,6,144,,,0.21754379649536576,1.1728837598940804,0.2161755204550924,1.158956868178753
8,2,QCL,6,144,,,0.21829025738812816,1.176908291379793,0.21576237018057293,1.1567418932952127
8,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1377,,,0.044748272137557873,0.24125956482781366,0.05780410089040482,0.30989845471309524
8,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1377,,,0.0377149014756926,0.20333926390673918,0.05017585070256234,0.26900199738631636
8,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1377,,,0.03314613582015911,0.17870683987780936,0.04579491726926851,0.2455150045905499
8,,Fourier param-matched,,143,72,6,0.0641117140464347,0.34565723976246926,0.0733226773704107,0.3930964077375511
