n,seed,model,n_layers,n_params,freq_count,L,train_mse,train_nmse,test_mse,test_nmse
4,0,QCL,6,54,,,0.27864134165364146,0.41233550141038783,0.29075919210442164,0.42159924647095004
4,1,QCL,6,54,,,0.3141297359416893,0.46485148761031475,0.3483240148134388,0.5050679261770057
4,2,QCL,6,54,,,0.27103390354849555,0.4010779586964535,0.29383671791678545,0.4260616421534278
4,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1217,,,0.016111355524047865,0.02384170209267466,0.019564257379341386,0.028368066746903783
4,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1217,,,0.01689140046377607,0.02499601831666583,0.022689147632126788,0.032899140610273166
4,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1217,,,0.01729399615206458,0.025591782369519304,0.0205534152122786,0.029802340222451887
4,,Fourier param-matched,,53,27,6,0.20817722662024582,0.3080621870798446,0.21723298448007752,0.3149866454868428
4,,Fourier full (L=3),,685,343,3,0.07803335651653007,0.11547433340302568,0.12100562347760692,0.17545749562608848
8,0,QCL,6,54,,,0.2545482217797958,0.3757183055905388,0.2622956694764898,0.373383229736556
8,1,QCL,6,54,,,0.2902451861421122,0.428407744436974,0.29306780648587244,0.4171879937473052
8,2,QCL,6,54,,,0.3292192263596274,0.48593421329288256,0.35667171577504714,0.5077294545410055
8,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1217,,,0.01588349459686609,0.02344435814583514,0.023321565246589942,0.033198723302079076
8,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1217,,,0.013798893157920348,0.020367444408249332,0.021105024418701,0.030043432271876634
8,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1217,,,0.01499676656471212,0.02213552969898497,0.02214456184774693,0.03152323498255004
8,,Fourier param-matched,,53,27,6,0.2200754854625852,0.3248358520121503,0.21736940000151556,0.30942976977261144
8,,Fourier full (L=3),,685,343,3,0.0775445013658763,0.11445724687188832,0.11436212683583795,0.16279681766280257
12,0,QCL,6,54,,,0.25006778501565624,0.3702226445373538,0.25017722923531094,0.3663616837984385
12,1,QCL,6,54,,,0.3350632204722721,0.4960574652296001,0.35454642585472024,0.5192008319777173
12,2,QCL,6,54,,,0.3104385450634768,0.4596009002620359,0.3505697749043109,0.5133773901619944
12,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1217,,,0.016628925747037473,0.024618944281439792,0.02059532981120689,0.03015997791278182
12,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1217,,,0.017609282341466827,0.026070351590688146,0.0224127225431438,0.032821383442895806
12,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1217,,,0.013917151751733723,0.020604192281832467,0.017161924493983096,0.025132069669392097
12,,Fourier param-matched,,53,27,6,0.22019449572115854,0.32599556361629106,0.20224095330198275,0.29616338949467413
12,,Fourier full (L=3),,685,343,3,0.08068766957823803,0.11945722001313054,0.108017696894969,0.15818204332756536
16,0,QCL,6,54,,,0.2336919334521719,0.3462757126645127,0.25118302629316774,0.37092701406550693
16,1,QCL,6,54,,,0.3101843922766071,0.45961929411215047,0.30801754768820927,0.4548556920021273
16,2,QCL,6,54,,,0.33767302290075224,0.5003508889897953,0.3561946208951755,0.5259997425169824
16,0,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=0)",,1217,,,0.011909693313474037,0.017647325172150376,0.016033701787209798,0.023677289091202744
16,1,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=1)",,1217,,,0.008516538394245153,0.012619478808435168,0.010919728560391941,0.016125382232574016
16,2,"MLPRegressor(hidden_layer_sizes=(32, 32), max_iter=500, random_state=2)",,1217,,,0.010341739102063584,0.015323990969035492,0.014479484242503605,0.021382144862813562
16,,Fourier param-matched,,53,27,6,0.21725261303734303,0.32191656038966454,0.20397097077926193,0.3012080245378122
16,,Fourier full (L=3),,685,343,3,0.07660938316891994,0.1135168354411162,0.10896081211417707,0.16090461717939641
1
