model,seed,n_layers,n_params,freq_count,train_nmse,test_nmse
QCL,0,3,9,,0.8151337899924869,0.7590363649881225
QCL,1,3,9,,0.844561374956185,0.8207243165891699
QCL,2,3,9,,0.9299915885978228,0.9460753637706736
QCL,0,6,18,,0.83129538643034,0.8042588019723467
QCL,1,6,18,,1.0107485612066407,1.005586662192562
QCL,2,6,18,,0.8429945812325517,0.8439234890567312
QCL,0,10,30,,0.7473340247524781,0.7986155811166135
QCL,1,10,30,,0.7851723047676206,0.7788599311091486
QCL,2,10,30,,0.7106991789947958,0.7723208370211367
QCL,0,20,60,,0.19594759692461677,0.22348773569699193
QCL,1,20,60,,0.20187836225885464,0.21468588278005551
QCL,2,20,60,,0.2266809076590462,0.26174110275968
MLP,0,,1153,,0.7216334835976643,0.7902350853353294
MLP,1,,1153,,0.7529365258658969,0.8281235647769838
MLP,2,,1153,,0.591940357410731,0.6288677455737232
Fourier full (L=3),,,13,7,0.762867520641345,0.73138772437947
Fourier full (L=6),,,25,13,0.7475596692697732,0.7207543907271783
Fourier full (L=10),,,41,21,0.5624602366268274,0.5772364796024854
Fourier full (L=20),,,81,41,0.01765562029088038,0.014489945701464776
